register_close_register_id,register_close_no,register_close_date,register_close_amt
AP_0123,102,10/1/2016,448393
AP_0123,103,10/2/2016,234375
AP_0123,104,10/3/2016,211173
AP_0123,105,10/4/2016,434650
AP_0123,106,10/5/2016,174990
AP_0123,107,10/6/2016,354120
AP_0123,108,10/7/2016,357416
AP_0123,109,10/8/2016,209220
AP_0123,110,10/9/2016,153280
AP_0123,111,10/10/2016,318220
AP_0123,112,10/11/2016,345700
AP_0123,113,10/12/2016,176280
AP_0123,114,10/13/2016,569251
AP_0123,115,10/14/2016,280220
AP_0123,116,10/15/2016,455985
AP_0123,117,10/16/2016,581245
AP_0123,118,10/17/2016,717685
AP_0123,119,10/18/2016,503715
AP_0123,120,10/19/2016,358410
AP_0123,121,10/20/2016,435280
AP_0123,122,10/21/2016,859965
AP_0123,123,10/22/2016,248735
AP_0123,124,10/23/2016,559292
AP_0123,125,10/24/2016,235373
AP_0123,126,10/25/2016,159081
AP_0123,127,10/26/2016,159081
AP_0123,128,10/27/2016,162540
AP_0123,129,10/28/2016,317000
AP_0123,130,10/29/2016,235373
AP_0123,131,10/30/2016,22000
AP_0123,132,10/31/2016,24000
AP_0123,133,11/1/2016,220000
AP_0123,134,11/2/2016,326000
AP_0123,135,11/3/2016,304000
AP_0123,136,11/4/2016,434000
AP_0123,137,11/5/2016,235373
AP_0123,138,11/6/2016,4500
AP_0123,139,11/7/2016,10500
AP_0123,140,11/8/2016,109500
AP_0123,141,11/9/2016,300500
AP_4567,107,10/1/2016,273000
AP_4567,108,10/2/2016,448393
AP_4567,109,10/3/2016,234375
AP_4567,110,10/4/2016,211173
AP_4567,111,10/5/2016,434650
AP_4567,112,10/6/2016,174990
AP_4567,113,10/7/2016,354120
AP_4567,114,10/8/2016,357416
AP_4567,115,10/9/2016,209220
AP_4567,116,10/10/2016,153280
AP_4567,117,10/11/2016,318220
AP_4567,118,10/12/2016,345700
AP_4567,119,10/13/2016,176280
AP_4567,120,10/14/2016,569251
AP_4567,121,10/15/2016,280220
AP_4567,122,10/16/2016,455985
AP_4567,123,10/17/2016,581245
AP_4567,124,10/18/2016,717685
AP_4567,125,10/19/2016,503715
AP_4567,126,10/20/2016,358410
